Rank,SBScore,Rating,User,Subscribers,VideoViews
164,1293,A-minus,DroidCheat,724350,638046179
438,2185,B-plus,DSimphony,783918,320738665
359,39929,B,DSPGaming,186976,381649398
210,10733,B,Duncan,1896185,546804332
443,33297,B,DusDavidGames,701625,316497043
241,12734,B,EA SPORTS FIFA,2490318,508111017
440,919,A,EdisonPts,1614085,319115706
325,18699,B,Egoraptor,2599132,410626635
463,25236,B,eguri89games,729970,307175886
185,778,A,ElChurches,2894582,609515201
383,4322,B-plus,ElectronicDesireGE,1884178,362289165
245,6329,B-plus,Escapist,962838,504565932
131,1074,A-minus,EthanGamer,1399618,740258351
171,8890,B-plus,EthosLab,1915422,629052814
165,875,A,EugeneSagaz,1995085,636233411
205,4067,B-plus,Exetrize,1980928,561605336
194,6153,B-plus,FantaBobGames,1736076,585539505
392,17879,B,FaZe Blaziken,2673481,352036505
301,24426,B,FaZe Clan,4379038,427325614
223,2877,B-plus,FaZe Jev,2231592,531354070
135,418,A,FaZe Rug,4560772,725967620
454,3740,B-plus,Febatista,1865585,314135717
444,3804,B-plus,Felps,1788104,316909453
222,12322,B,Fer0m0nas,3250526,531904934
10,56,A,Fernanfloo,19943951,4623661434
17,74,A,FGTeeV,3078131,3436786217
302,2047,B-plus,Filipin is bro,2177728,427461893
395,8773,B-plus,Fir4sGamer,1519002,346544926
124,970,A,Folagor03,1830256,784387784
312,632,A,Fran MG,1231536,419052527
150,6397,B-plus,FRANKIEonPC,3492196,663547645
282,5287,B-plus,Frigiel,1601386,451406888
27,912,A,FROST,6270721,2402547583
224,10254,B,FullHDvideos4me,467100,530822244
261,1797,A-minus,Funhaus,1100556,476490135
284,8191,B-plus,funkyblackcat,2114236,449762153
277,1334,A-minus,Furious Jumper,1312826,459432715
404,28462,B,gagatunFeed,1204201,339665487
483,6225,B-plus,Galadon Gaming,1310238,297725392
265,1807,A-minus,Game of War: Fire Age,62913,469924341
253,7979,B-plus,GameChap,675527,490386476
19,393,A,GameGrumps,3755348,2950495565
439,17521,B,Gameloft,641933,320059860
471,4499,B-plus,GameMeneer,716205,304350840
127,3211,B-plus,GameNewsOfficial,865197,763501200
42,707,A,Gameplayrj,4695153,1797069578
251,543,A,Gamer Chad,945918,492843531
161,1355,A-minus,gameranx,3198454,642585841
490,91114,B,GamerSpawn,239859,295181747
294,1272,A-minus,Games EduUu,1889114,437051457
56,2240,B-plus,GameSpot,2619550,1523593014
211,1624,A-minus,GameSprout,1797294,547498276
252,3824,B-plus,GameStar,824878,491772116
215,2312,B-plus,GameXplain,756335,543532770
417,2792,B-plus,GamingWithJen,2681887,331267564
276,1768,A-minus,GAMINGwithMOLT,2189010,461520846
314,27640,B,GassyMexican,1493385,415130132
104,1116,A-minus,GermanLetsPlay,2278910,933799765
149,6977,B-plus,GhostRobo,1810523,663779462
351,2273,B-plus,Gimper,1108276,387742656
343,7413,B-plus,Gizzy Gazza,1420849,392222500
378,7592,B-plus,gocalibergaming,343230,363721177
157,2802,B-plus,Godson - Clash Gaming,1900558,647874512
318,10131,B,GoGoManTV,1538610,414478687
466,37346,B,GoldGloveTV,1349489,306060274
271,12633,B,GommeHD,1535647,465216074
146,4072,B-plus,Gona89,2431266,677015822
455,8638,B-plus,GONTH,1703603,312931006
34,913,A,Gronkh,4555444,2154926373
119,3915,B-plus,GTA Series Videos,1621876,826903977
474,35153,B,GTAmissions,464951,303907520
48,68,A,Guava Juice,5192592,1669656471
421,8197,B-plus,guilhermeoss,731810,327807274
60,1054,A-minus,H2ODelirious,8644663,1471663807
96,2327,B-plus,HappyTown - LeTSPLaySHiK,2920774,975991516
393,49543,B,HassanAlHajry,465593,349087412
400,11340,B,Hat Films,887844,342055345
180,8332,B-plus,HelldogMadness,1433602,617615010
37,269,A,HikakinGames,2653766,2086736576
190,8522,B-plus,Hikaru Games,448151,591740384
255,15719,B,HikePlays,2070273,486350624
451,3245,B-plus,Hueva,1992005,315018909
213,1044,A-minus,Humberto Contreras,654270,546551819
256,142827,B-minus,HuskyStarcraft,837206,485462446
208,3436,B-plus,I AM WILDCAT,4917455,552142728
30,1435,A-minus,iBallisticSquid,3972670,2235583679
158,977,A,iGameplay1337,586426,647329927
475,20555,B,IGM,1483762,303396185
7,313,A,IGN,8104238,6158186036
36,1110,A-minus,iHasCupquake,5413051,2107021720
175,2782,B-plus,ilvostrocaroDexter,2081752,627413577
82,2117,B-plus,Insanegaz,1068559,1068331605
233,7045,B-plus,Instalok,1359839,520365674
399,2211,B-plus,iRaphahell,908711,343538913
278,4673,B-plus,IsAmUxPompa,1558888,457926448
453,1620,A-minus,ItsJerryAndHarry,1328110,314743270
112,1673,A-minus,IULITM,1019848,861045282
354,3596,B-plus,izak LIVE,1340788,386336464
429,4664,B-plus,J0k3ROfficialTube,1247426,324242199
283,4120,B-plus,jackfrags,2141292,451429503
5,78,A,jacksepticeye,14771738,6647712034
423,5850,B-plus,Jaidefinichon GOTH,1209562,327249887
448,13963,B,jamonymow,247080,314705612
347,5818,B-plus,Jannine Weigel,2106760,390245527
199,2180,B-plus,Jazzghost,3400420,575699072
44,296,A,Jelly,5970330,1763079935
77,2620,B-plus,JeromeASF,4631561,1122072738
316,13387,B,Jesse Cox,913437,414697508
300,1621,A-minus,JMX,2097691,427998659
389,7298,B-plus,Joey Graceffa,2095270,357446771
329,3023,B-plus,JonTronShow,3115144,407155183
434,68694,B,Josemicod5,1566254,321208552
280,7087,B-plus,Joueur Du Grenier,2821907,453745243
132,1996,A-minus,Jove,2631826,731312966
478,1456,A-minus,JT Machinima,999251,301419597
11,202,A,JuegaGerman,17848310,4293545367
427,889,A,Julia MineGirl,944496,326853785
485,29901,B,Jumbo,1783033,297047373
489,679810,C-and-D,Jumpinthepack,716792,295171736
311,4232,B-plus,jvnq,2203881,418312894
409,16775,B,Keralis,1754521,337119141
403,86006,B,Keyori,881556,340127614
500,3327,B-plus,KillerCreeper55 - Minecraft,1811164,289528694
341,3759,B-plus,KilooGames,2010038,396551066
114,1944,A-minus,KjraGaming,722306,843953184
436,40482,B,kootra,949179,320199075
267,3026,B-plus,Kripparrian,883671,468958858
145,11314,B,KSIOlajidebtHD,4813421,677565062
433,3807,B-plus,Kubz Scouts,1338677,322046818
86,824,A,Kuplinov ? Play,2940686,1050171862
35,335,A,Kwebbelkop,6443011,2138163025
293,4283,B-plus,KYRSP33DY,2302159,439293189
137,3356,B-plus,Lachlan,3029033,711610166
260,7307,B-plus,LaGGeR,1924199,479077508
179,990,A,LaSalle,1735749,622703361
98,927,A,LDShadowLady,2873658,969027778
184,1757,A-minus,Le Bled'Art,2284955,610800594
102,3208,B-plus,LeafyIsHere,4466994,934275644
62,2443,B-plus,League of Legends,7936541,1418110211
322,3199,B-plus,lele,3436414,412741947
59,1820,A-minus,LetsPlay,3727097,1482777566
281,4337,B-plus,LevelCapGaming,1724209,451475438
156,1052,A-minus,LipaoGamer,2834263,648989822
382,8847,B-plus,lisbug,2086387,361982659
494,1604,A-minus,LispyJimmy,2369012,293546719
334,4074,B-plus,Little Carly Minecraft,1053335,403462802
111,1072,A-minus,Little Kelly Minecraft,1826602,875580701
49,1609,A-minus,LittleLizardGaming - MinecraftÉ,2970755,1656333406
462,8604,B-plus,Logdotzip,1395186,307293423
189,10921,B,LoL Esports,2212329,596712211
337,22891,B,lonniedos,787860,399629486
497,4052,B-plus,Lost Pause,977955,290671138
340,5291,B-plus,LPmitKev,1314735,397065630
493,15848,B,Lugin,2212331,293883150
269,5765,B-plus,Luh,1989120,466100567
239,17882,B,Lui Calibre,4847584,509387274
467,12892,B,Luna,1573636,305676738
88,1076,A-minus,luzugames,6479265,1044158789
147,4843,B-plus,lzuniy,865596,675123083
83,1056,A-minus,M3RKMUS1C,3377620,1056355832
9,5010,B-plus,Machinima,12630862,5675868421
373,129191,B-minus,machinimarespawn,2615299,366411140
432,13162,B,MagdalenaMariaMonika,888257,323402472
346,4441,B-plus,MagmaMusen,1682002,390302777
139,33823,B,MahaloVideoGames,413669,694798092
390,3005,B-plus,malena010102,3291963,357646109
342,2018,B-plus,Mandzio,1442537,393255031
4,70,A,Markiplier,16719884,6778559493
235,5005,B-plus,MasterOv,2409719,514983630
178,5944,B-plus,MattHDGamer,2057167,622379930
303,2027,B-plus,MattShea,1543666,426784596
498,9712,B-plus,Maximilian Dood,586787,290005793
264,1302,A-minus,MaxINFINITE,887055,473798576
242,2311,B-plus,MessYourself,2460843,508371208
181,4787,B-plus,Mini Ladd,3796407,617373719
50,799,A,miniminter,5760343,1637689401
415,154920,B-minus,Minnesota Burns,1955437,331330352
275,3637,B-plus,MKIceAndFire,724669,461671354
101,1306,A-minus,MM7Games,2638737,957917708
134,1848,A-minus,MoreAliA,4487180,729153558
495,3179,B-plus,Mr. Fruit Gaming Channel,935695,292664963
